Filename:  C:\Users\au576929\Documents\ExperimentalPhysics3\X-rays\Absorbanter\Day 3\Absorber2\Absorber2.mca
Description:  
TimeStamp:  11/25/2019 13:32:58

Spectral Data Information
Channel	Data
508	331
509	323
510	363
511	375
512	366
513	375
514	379
515	381
516	351
517	386
518	353
519	327
520	371
521	363
522	394
523	365
524	373
525	364
526	418
527	351
528	382
529	356
530	387
531	435
532	377
533	408
534	381
535	361
536	421
537	408
538	427
539	408
540	428
541	459
542	377
543	425
544	428
545	403
546	409
547	404
548	385
549	425
550	403
551	411
552	399
553	375
554	460
555	440
556	392
557	440
558	417
559	452
560	446
561	462
562	449
563	408
564	419
565	426
566	450
567	441
568	461
569	484
570	419
571	458
572	459
573	468
574	430
575	465
576	437
577	467
578	388
579	454
580	475
581	391
582	434
583	459
584	434
585	444
586	484
587	455
588	433
589	460
590	487
591	458
592	418
593	428
594	478
595	446
596	406
597	429
598	467
599	453
600	434
601	457
602	466
603	478
604	478
605	505
606	482
607	456
608	477
609	444
610	463
611	486
612	484
613	496
614	468
615	479
616	489
617	518
618	507
619	466
620	485
621	463
622	459
623	460
624	476
625	468
626	443
627	461
628	476
629	496
630	467
631	476
632	482
633	498
634	496
635	476
636	468
637	488
638	457
639	489
640	472
641	488
642	472
643	472
644	483
645	486
646	507
647	473
648	517
649	498
650	507
651	482
652	467
653	459
654	449
655	439
656	485
657	503
658	466
659	489
660	468
661	480
662	464
663	457
664	464
665	510
666	504
667	452
668	486
669	497
670	488
671	514
672	480
673	507
674	489
675	471
676	446
677	496
678	466
679	468
680	442
681	484
682	474
683	484
684	480
685	443
686	458
687	491
688	515
689	493
690	499
691	483
692	486
693	459
694	508
695	434
696	470
697	468
698	508
699	488
700	494
701	477
702	490
703	430
704	470
705	495
706	478
707	482
708	500
709	498
710	489
711	491
712	479
713	488
714	451
715	495
716	463
717	472
718	523
719	472
720	475
721	465
722	432
723	464
724	465
725	475
726	493
727	458
728	474
729	476
730	467
731	461
732	452
733	487
734	457
735	441
736	456
737	488
738	489
739	441
740	459
741	455
742	483
743	464
744	430
745	446
746	461
747	444
748	477
749	486
750	431
751	452
752	458
753	458
754	465
755	428
756	443
757	432
758	428
759	458
760	442
761	453
762	479
763	423
764	448
765	403
766	428
767	411
768	409
769	458
770	457
771	452
772	404
773	471
774	385
775	402
776	437
777	433
778	409
779	442
780	421
781	440
782	454
783	431
784	367
785	416
786	428
787	401
788	411
789	372
790	393
791	421
792	407
793	420
794	403
795	409
796	402
797	413
798	414
799	408
800	403
801	422
802	377
803	386
804	446
805	412
806	373
807	377
808	405
809	383
810	419
811	387
812	410
813	397
814	418
815	374
816	368
817	342
818	300
819	305
820	259
821	261
822	225
823	176
824	160
825	145
826	102
827	111
828	97
829	103
830	87
831	97
832	88
833	104
834	97
835	90
836	81
837	93
838	94
839	95
840	87
841	98
842	85
843	107
844	85
845	103
846	88
847	90
848	79
849	100
850	106
851	86
852	104
853	96
854	84
855	109
856	95
857	89
858	101
859	102
860	91
861	101
862	104
863	106
864	103
865	92
866	100
867	103
868	95
869	102
870	103
871	98
872	98
873	97
874	115
875	82
876	104
877	101
878	82
879	93
880	92
881	101
882	87
883	96
884	97
885	90
886	105
887	90
888	88
889	110
890	91
891	90
892	90
893	95
894	97
895	99
896	105
897	95
898	100
899	102
900	104
901	88
902	115
903	92
904	103
905	104
906	90
907	115
908	93
909	83
910	101
911	95
912	71
913	93
914	101
915	95
916	102
917	92
918	89
919	104
920	92
921	105
922	74
923	94
924	94
925	92
926	96
927	85
928	102
929	98
930	94
931	93
932	93
933	86
934	84
935	92
936	92
937	72
938	85
939	98
940	81
941	80
942	85
943	90
944	73
945	74
946	92
947	78
948	85
949	76
950	93
951	74
952	78
953	88
954	94
955	82
956	85
957	80
958	92
959	80
960	96
961	86
962	83
963	81
964	96
965	85
966	64
967	81
968	75
969	64
970	82
971	91
972	75
973	86
974	77
975	66
976	79
977	73
978	69
979	81
980	85
981	76
982	76
983	75
984	70
985	68
986	82
987	67
988	76
989	68
990	55
991	80
992	74
993	67
994	79
995	78
996	55
997	68
998	65
999	70
1000	61
1001	56
1002	78
1003	72
1004	62
1005	75
1006	54
1007	54
1008	87
1009	71
1010	60
1011	71
1012	70
1013	62
1014	66
1015	61
1016	63
1017	59
1018	58
1019	67
1020	66
1021	45
1022	50
1023	52
1024	73
1025	63
1026	62
1027	65
1028	60
1029	57
1030	65
1031	53
1032	58
1033	70
1034	47
1035	60
1036	65
1037	47
1038	60
1039	43
1040	69
1041	47
1042	58
1043	50
1044	56
1045	52
1046	62
1047	44
1048	57
1049	52
1050	46
1051	48
1052	51
1053	49
1054	51
1055	58
1056	53
1057	42
1058	51
1059	42
1060	40
1061	35
1062	44
1063	48
1064	31
1065	37
1066	50
1067	37
1068	50
1069	43
1070	54
1071	41
1072	42
1073	39
1074	39
1075	40
1076	41
1077	42
1078	37
1079	36
1080	30
1081	41
1082	37
1083	33
1084	25
1085	36
1086	31
1087	48
1088	20
1089	34
1090	38
1091	30
1092	33
1093	28
1094	28
1095	34
1096	35
1097	31
1098	35
1099	32
1100	26
1101	32
1102	22
1103	25
1104	20
1105	22
1106	30
1107	22
1108	27
1109	26
1110	23
1111	20
1112	22
1113	21
1114	19
1115	18
1116	25
1117	20
1118	22
1119	25
1120	19
1121	23
1122	25
1123	12
1124	18
1125	21
1126	12
1127	20
1128	20
1129	12
1130	25
1131	7
1132	14
1133	7
1134	18
1135	14
1136	16
1137	12
1138	11
1139	14
1140	14
1141	6
1142	5
1143	4
1144	11
1145	7
1146	3
1147	6
1148	6
1149	2
1150	2
1151	4
1152	1
1153	2
1154	1
1155	1
1156	4
1157	0
1158	1
1159	2
1160	1
1161	0
1162	0
1163	0
1164	0
1165	0
1166	0
1167	0
1168	0
1169	0
1170	0
1171	0
1172	0
1173	0
1174	0
1175	0
1176	0
1177	0
1178	0
1179	0
1180	0
1181	0
1182	1
1183	0
1184	0
1185	0
1186	0
1187	0
1188	0
1189	1
1190	0
1191	0
1192	1
1193	0
1194	0
1195	0
1196	0
1197	0
1198	0
1199	0
1200	0
1201	0
1202	0
1203	1
1204	0
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	1
1214	1
1215	1
1216	0
1217	0
1218	0
1219	0
1220	0
1221	1
1222	0
1223	0
1224	0
1225	0
1226	0
1227	0
1228	1
1229	0
1230	0
1231	0
1232	0
1233	0
1234	0
1235	0
1236	0
1237	1
1238	0
1239	0
1240	0
1241	0
1242	0
1243	0
1244	0
1245	0
1246	0
1247	0
1248	0
1249	0
1250	0
1251	0
1252	0
1253	0
1254	0
1255	0
1256	0
1257	0
1258	0
1259	0
1260	0
1261	0
1262	0
1263	0
1264	0
1265	0
1266	0
1267	0
1268	0
1269	0
1270	0
1271	0
1272	0
1273	0
1274	0
1275	0
1276	0
1277	0
1278	0
1279	0
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	0
1293	0
1294	0
1295	0
1296	0
1297	1
1298	0
1299	0
1300	1
1301	0
1302	0
1303	0
1304	0
1305	0
1306	1
1307	0
1308	0
1309	0
1310	0
1311	0
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	1
1322	0
1323	0
1324	0
1325	0
1326	0
1327	0
1328	0
1329	0
1330	0
1331	0
1332	0
1333	0
1334	0
1335	0
1336	0
1337	0
1338	0
1339	0
1340	0
1341	0
1342	0
1343	0
1344	0
1345	0
1346	0
1347	0
1348	0
1349	0
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	0
1358	0
1359	0
1360	0
1361	0
1362	0
1363	0
1364	0
1365	0
1366	0
1367	0
1368	0
1369	0
1370	0
1371	0
1372	0
1373	0
1374	0
1375	0
1376	0
1377	0
1378	0
1379	0
1380	0
1381	0
1382	0
1383	0
1384	0
1385	0
1386	0
1387	1
1388	0
1389	0
1390	0
1391	0
1392	0
1393	0
1394	0
1395	0
1396	0
1397	0
1398	0
1399	0
1400	0
1401	0
1402	0
1403	0
1404	0
1405	0
1406	0
1407	0
1408	0
1409	0
1410	0
1411	0
1412	0
1413	0
1414	0
1415	0
1416	0
1417	0
1418	0
1419	0
1420	0
1421	0
1422	0
1423	0
1424	0
1425	0
1426	0
1427	0
1428	0
1429	0
1430	0
1431	0
1432	0
1433	0
1434	0
1435	0
1436	0
1437	0
1438	0
1439	0
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	0
1450	0
1451	0
1452	0
1453	0
1454	0
1455	0
1456	0
1457	0
1458	0
1459	0
1460	0
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	0
1468	1
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	0
1480	0
1481	0
1482	0
1483	0
1484	0
1485	0
1486	0
1487	0
1488	0
1489	0
1490	0
1491	0
1492	0
1493	0
1494	0
1495	0
1496	0
1497	0
1498	0
1499	0
1500	0
1501	0
1502	0
1503	0
1504	0
1505	0
1506	0
1507	0
1508	0
1509	0
1510	0
1511	1
1512	0
1513	0
1514	0
1515	0
1516	0
1517	0
1518	0
1519	0
1520	0
1521	0
1522	0
1523	0
1524	0
1525	0
1526	0
1527	0
1528	0
1529	0
1530	0
1531	0
1532	0
1533	0
1534	0
1535	0
1536	0
1537	0
1538	0
1539	0
1540	0
1541	0
1542	0
1543	0
1544	0
1545	1
1546	0
1547	0
1548	0
1549	0
1550	0
1551	0
1552	0
1553	0
1554	0
1555	0
1556	0
1557	0
1558	0
1559	1
1560	0
1561	0
1562	0
1563	0
1564	0
1565	0
1566	0
1567	0
1568	0
1569	0
1570	0
1571	0
1572	0
1573	1
1574	0
1575	0
1576	0
1577	0
1578	0
1579	0
1580	0
1581	0
1582	0
1583	0
1584	0
1585	0
1586	0
1587	0
1588	0
1589	0
1590	1
1591	0
1592	0
1593	0
1594	0
1595	0
1596	0
1597	0
1598	0
1599	0
1600	0
1601	0
1602	0
1603	0
1604	0
1605	0
1606	0
1607	0
1608	0
1609	0
1610	1
1611	0
1612	0
1613	0
1614	0
1615	0
1616	0
1617	0
1618	0
1619	0
1620	0
1621	0
1622	0
1623	0
1624	0
1625	0
1626	0
1627	0
1628	0
1629	0
1630	0
1631	0
1632	0
1633	0
1634	0
1635	0
1636	0
1637	0
1638	0
1639	0
1640	0
1641	0
1642	0
1643	0
1644	0
1645	0
1646	0
1647	0
1648	0
1649	0
1650	0
1651	0
1652	0
1653	0
1654	0
1655	0
1656	0
1657	0
1658	0
1659	0
1660	0
1661	0
1662	0
1663	0
1664	0
1665	0
1666	0
1667	0
1668	0
1669	0
1670	0
1671	0
1672	0
1673	0
1674	0
1675	0
1676	0
1677	0
1678	0
1679	0
1680	0
1681	0
1682	0
1683	0
1684	1
1685	0
1686	0
1687	0
1688	0
1689	0
1690	0
1691	0
1692	0
1693	0
1694	0
1695	0
1696	0
1697	0
1698	0
1699	0
1700	0
1701	0
1702	0
1703	0
1704	0
1705	0
1706	0
1707	0
1708	0
1709	0
1710	0
1711	0
1712	0
1713	0
1714	0
1715	0
1716	0
1717	0
1718	0
1719	0
1720	0
1721	0
1722	0
1723	0
1724	0
1725	0
1726	0
1727	0
1728	0
1729	0
1730	0
1731	0
1732	0
1733	0
1734	0
1735	0
1736	0
1737	0
1738	0
1739	0
1740	0
1741	0
1742	0
1743	0
1744	0
1745	0
1746	0
1747	0
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	0
1755	0
1756	0
1757	0
1758	0
1759	0
1760	0
1761	0
1762	0
1763	0
1764	0
1765	0
1766	0
1767	0
1768	0
1769	0
1770	0
1771	0
1772	0
1773	0
1774	0
1775	0
1776	0
1777	0
1778	0
1779	0
1780	0
1781	0
1782	0
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	0
1791	0
1792	0
1793	0
1794	0
1795	0
1796	0
1797	0
1798	0
1799	0
1800	0
1801	0
1802	0
1803	0
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	0
1812	0
1813	0
1814	0
1815	0
1816	0
1817	0
1818	0
1819	0
1820	0
1821	0
1822	0
1823	0
1824	0
1825	0
1826	0
1827	0
1828	0
1829	0
1830	0
1831	0
1832	0
1833	0
1834	0
1835	0
1836	0
1837	0
1838	0
1839	0
1840	0
1841	0
1842	0
1843	0
1844	0
1845	0
1846	0
1847	0
1848	0
1849	0
1850	0
1851	0
1852	0
1853	0
1854	0
1855	0
1856	0
1857	0
1858	0
1859	0
1860	0
1861	0
1862	0
1863	0
1864	0
1865	0
1866	0
1867	0
1868	0
1869	0
1870	0
1871	0
1872	1
1873	0
1874	0
1875	0
1876	0
1877	0
1878	0
1879	0
1880	0
1881	0
1882	0
1883	0
1884	0
1885	0
1886	0
1887	0
1888	0
1889	0
1890	0
1891	0
1892	0
1893	0
1894	0
1895	0
1896	0
1897	0
1898	0
1899	0
1900	0
1901	0
1902	0
1903	0
1904	0
1905	0
1906	0
1907	0
1908	0
1909	0
1910	0
1911	0
1912	0
1913	0
1914	0
1915	0
1916	0
1917	0
1918	0
1919	0
1920	0
1921	0
1922	0
1923	0
1924	0
1925	0
1926	0
1927	0
1928	0
1929	0
1930	0
1931	0
1932	0
1933	0
1934	0
1935	0
1936	0
1937	0
1938	0
1939	0
1940	0
1941	0
1942	0
1943	0
1944	0
1945	0
1946	0
1947	0
1948	0
1949	0
1950	0
1951	0
1952	0
1953	0
1954	0
1955	0
1956	0
1957	0
1958	0
1959	0
1960	0
1961	0
1962	0
1963	0
1964	0
1965	0
1966	0
1967	0
1968	0
1969	0
1970	0
1971	0
1972	0
1973	0
1974	0
1975	0
1976	0
1977	0
1978	0
1979	0
1980	0
1981	0
1982	0
1983	0
1984	0
1985	0
1986	0
1987	0
1988	0
1989	0
1990	0
1991	0
1992	0
1993	0
1994	0
1995	0
1996	0
1997	0
1998	0
1999	0
2000	0
2001	0
2002	0
2003	0
2004	0
2005	0
2006	0
2007	0
2008	0
2009	0
2010	0
2011	0
2012	0
2013	0
2014	0
2015	0
2016	0
2017	0
2018	0
2019	0
2020	0
2021	0
2022	0
2023	0
2024	0
2025	0
2026	0
2027	0
2028	0
2029	0
2030	0
2031	0
2032	0
2033	0
2034	0
2035	0
2036	0
2037	0
2038	0
2039	0
2040	0
2041	0
2042	0
2043	0
2044	0
2045	0
2046	0
2047	0
